id	name	img	desc	price	brand
41	Shirts	pics/1.jpg	Navy Color Check Full Sleeves Casual Shirt for Men (Shirt For Men Creaser Casual Shirt for Men)	820	Daraz
42	Shirts	pics/2.jpg	Premium_Light Sky Color Check Full Sleeves Casual Shirt for Men (Shirt For Men Creaser Casual Shirt for Men)	1000	Daraz
43	Shirts	pics/3.jpg	Army Green Cotton Long Sleeve Casual Shirt For Men	379	Daraz
44	Shirts	pics/4.jpg	Long Sleeve Casual Shirt for Men	367	Daraz
45	Shirts	pics/5.jpg	Navy Blue Printed Cotton Long Sleeve Casual Shirt for Men	526	Daraz
46	Shirts	pics/6.jpg	Pest Cotton Long Sleeve Shirt for Men	358	Daraz
47	Shirts	pics/7.jpg	Army Green Cotton Long Sleeve Casual Shirt For Men	399	Daraz
48	Shirts	pics/8.jpg	Army Green Cotton Long Sleeve Casual Shirt For Men-2021	373	Daraz
49	Shirts	pics/9.jpg	Long Sleeve Casual Shirt for Men	385	Daraz
50	Shirts	pics/10.jpg	Black Danim For Men's Long Sleeve jeans Shirts.	599	Daraz
51	Shirts	pics/11.jpg	Army Green Cotton Long Sleeve Casual Shirt For Men	379	Daraz
52	Shirts	pics/12.jpg	New Style Trendy Cotton Oxford Long Sleeve Shirt For Men	450	Daraz
53	Shirts	pics/13.jpg	Men's full sleeve Cotton Formal White Shirt	595	Daraz
54	Shirts	pics/14.jpg	Long Sleeve Casual Shirt for Men	385	Daraz
55	Shirts	pics/15.jpg	Sleeveless T-shirt for men CR-0004	94	Daraz
56	Shirts	pics/16.jpg	Navy Blue Ball Printed Formal Shirt for Men	350	Daraz
57	Shirts	pics/17.jpg	Casual shirt for men	389	Daraz
58	Shirts	pics/18.jpg	Black Ball Printed Formal Shirt for Men	232	Daraz
59	Shirts	pics/19.jpg	Brown Long Sleeve Casual Shirt for Men 2020	383	Daraz
60	Shirts	pics/20.jpg	Denim Long Sleeve Shirt for Men	549	Daraz
61	Shirts	pics/61.jpeg	Youre Pointless Half Sleeve T-shirt – STLR68	330	PrioShop
62	Shirts	pics/62.jpeg	You Can't Stop Me Unisex Half Sleeve T-shirt V086	200	PrioShop
63	Shirts	pics/63.jpeg	Wrong And Visionary Half Sleeve T-shirt – STLR86	330	PrioShop
64	Shirts	pics/66.jpeg	World Vs Covid 19 Half Sleeve T-shirt	200	PrioShop
65	Shirts	pics/65.jpeg	Wizard Half Sleeve T-shirt for Men – STLR90	330	PrioShop
66	Shirts	pics/66.jpeg	Wizard Half Sleeve T-shirt for Men – STLR89	330	PrioShop
67	Shirts	pics/67.jpeg	Winter Shirt for Men RN-MEH-SS20-SM541	1989	PrioShop
68	Shirts	pics/68.jpeg	White Cotton Full Sleeve Shirt for Men WFS - 719013	420	PrioShop
69	Shirts	pics/69.jpeg	White Cotton Full Sleeve Polka Shirt for Men WPS - 7190141	480	PrioShop
70	Shirts	pics/70.jpeg	Where Is The Food Half Sleeve T-shirt – STLR91	330	PrioShop
71	Shirts	pics/71.jpeg	We Rise Half Sleeve T-shirt for Men – STLR87	330	PrioShop
72	Shirts	pics/72.jpeg	We Can Fight Coronavirus Half Sleeve T-shirt	200	PrioShop
73	Shirts	pics/73.jpeg	Visionary Half Sleeve T-shirt for Men – STLR2	330	PrioShop
74	Shirts	pics/74.jpeg	Virus Alert Unisex Half Sleeve T-shirt V085	200	PrioShop
75	Shirts	pics/75.jpeg	Vertical Stripe Cotton T-shirt GRN RN-AL-SS20-MT444	806	PrioShop
76	Shirts	pics/76.jpeg	Vertical Stripe Cotton T-shirt BLU RN-AL-SS20-MT444	806	PrioShop
77	Shirts	pics/77.jpeg	Valar Morghulis Half Sleeve T-shirt for Men – STLR85	330	PrioShop
78	Shirts	pics/78.jpeg	USA Flag Megi 3D T-shirt for Kids – SOS25	499	PrioShop
79	Shirts	pics/79.jpeg	Unisex Half Sleeve T-shirt V077	200	PrioShop
80	Shirts	pics/80.jpeg	Unisex Half Sleeve T-shirt V076	200	PrioShop
